["6e570934574060042820ea0d16723722","2019-08-04 05:51:35"]
["56449792d94862dde0e8e121670a05e4","2019-08-04 05:56:35"]
["e5c7f3dc5d6fd62d3f40ecd5d169d977","2019-08-04 05:58:00"]
["c331568dffd6da504d7dd43d2dbd5076","2019-08-04 06:01:35"]
["2faa46aa58f9746d06a8782cd36c5383","2019-08-04 06:06:35"]
["f67c03cbb98d8b407932270a2b5929b4","2019-08-04 06:06:58"]
["bc7aee238e5de382af63407d052780fc","2019-08-04 06:06:59"]
["02373dd928502bd90256bf999e878bb0","2019-08-04 06:07:03"]
["02373dd928502bd90256bf999e878bb0","2019-08-04 06:07:04"]
["67bd4c2b96d572048f32d4b958d691f6","2019-08-04 06:11:36"]
["b874bcd76118550494cd5416783848c3","2019-08-04 06:16:36"]
["3ee0f8d6b87594f10ad8cad0db110df7","2019-08-04 06:21:36"]
["4798b7327bd45d09940f6599eaa47eec","2019-08-04 06:26:36"]
["c9604e86bbac54e00f9816495d1424a1","2019-08-04 06:30:07"]
["11a4064dfb00fef2302409e1d01c2afa","2019-08-04 06:31:36"]
["68beb04058c054159741e63362195fb1","2019-08-04 06:36:37"]
["f46d365e8bd547e06ac2e3d4ee851fc4","2019-08-04 06:38:40"]
["b077419924ec565109d86dc8aa1d94c4","2019-08-04 06:39:47"]
["e1e3732b0ad7f222652b27753b841d21","2019-08-04 06:41:37"]
["ee05f1be43b870005c61b6da3fab55d6","2019-08-04 06:46:37"]
["10ca91828c18b66633984236ff8b60e6","2019-08-04 06:51:38"]
["a1785105027cbf34440428b9002a077a","2019-08-04 06:56:04"]
["c402b62d694d373136c7cf9505f67721","2019-08-04 06:56:06"]
["9ac1c505613b2af7e761215d2bd8e441","2019-08-04 06:56:38"]
["949b975e4d6a7f6ec9c739aa57aa1395","2019-08-04 07:01:38"]
["7e19801f2fa341a6f6b1f2a5d30a10d5","2019-08-04 07:02:25"]
["2c230964a5c1ab857cbc6c588a38d1c2","2019-08-04 07:06:38"]
["7be531255e1d6f8939797ad60b2f302f","2019-08-04 07:08:22"]
["ca193609012b61d8b9938534583739fd","2019-08-04 07:11:11"]
["7afc18714bf1ac3fe46bad0612a9c5f7","2019-08-04 07:11:39"]
["1c331f488c4d1ef6757e8fc98bf399f2","2019-08-04 07:11:42"]
["143b974a0e45dbe82db83c1b51700372","2019-08-04 07:12:59"]
["dafab633660bec55fec1be27284c5e33","2019-08-04 07:16:39"]
["71d153884783d1a61f5a7a37a394da8e","2019-08-04 07:16:42"]
["800583171ba71f4ba3fd1ed89265fdaf","2019-08-04 07:16:47"]
["800583171ba71f4ba3fd1ed89265fdaf","2019-08-04 07:16:48"]
["71d153884783d1a61f5a7a37a394da8e","2019-08-04 07:16:48"]
["800583171ba71f4ba3fd1ed89265fdaf","2019-08-04 07:16:49"]
["71d153884783d1a61f5a7a37a394da8e","2019-08-04 07:16:49"]
["07ac1c9a11a4155851f7dbbda6d027a5","2019-08-04 07:16:49"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:16:50"]
["89243bc1155377016ace39aa54aa0cd9","2019-08-04 07:16:50"]
["030edb860b1594b4dc10f563ba40ce85","2019-08-04 07:16:50"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:16:50"]
["aa51e79197fd2c762331682b1b6a7d35","2019-08-04 07:16:51"]
["030edb860b1594b4dc10f563ba40ce85","2019-08-04 07:16:51"]
["11663511f227bf496ffbe3cd71305b96","2019-08-04 07:16:51"]
["aa51e79197fd2c762331682b1b6a7d35","2019-08-04 07:16:51"]
["7d4eb7a60c3ef62b64f3fa23afbd4c16","2019-08-04 07:16:52"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:16:55"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:17:01"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:17:02"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:17:06"]
["89243bc1155377016ace39aa54aa0cd9","2019-08-04 07:17:07"]
["7d4eb7a60c3ef62b64f3fa23afbd4c16","2019-08-04 07:17:07"]
["11663511f227bf496ffbe3cd71305b96","2019-08-04 07:17:07"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:17:07"]
["89243bc1155377016ace39aa54aa0cd9","2019-08-04 07:17:07"]
["65cc885625d6c3492fb0c9fa9c0a4022","2019-08-04 07:17:08"]
["54377e2d2fa1fb9a9fd6bd23b661b6b3","2019-08-04 07:17:08"]
["7d4eb7a60c3ef62b64f3fa23afbd4c16","2019-08-04 07:17:08"]
["7d4eb7a60c3ef62b64f3fa23afbd4c16","2019-08-04 07:17:12"]
["7d4eb7a60c3ef62b64f3fa23afbd4c16","2019-08-04 07:17:13"]
["7d4eb7a60c3ef62b64f3fa23afbd4c16","2019-08-04 07:17:14"]
["11663511f227bf496ffbe3cd71305b96","2019-08-04 07:17:14"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:17:15"]
["11663511f227bf496ffbe3cd71305b96","2019-08-04 07:17:19"]
["54377e2d2fa1fb9a9fd6bd23b661b6b3","2019-08-04 07:17:19"]
["11663511f227bf496ffbe3cd71305b96","2019-08-04 07:17:20"]
["10c1c7823421d127dca0854d0c2d832c","2019-08-04 07:17:20"]
["4cfd2043653ad327358e459e37e5cb5c","2019-08-04 07:21:39"]
["74494a4d463e2f1f8426d79916ecd903","2019-08-04 07:23:32"]
["74494a4d463e2f1f8426d79916ecd903","2019-08-04 07:23:32"]
["74494a4d463e2f1f8426d79916ecd903","2019-08-04 07:25:37"]
["74494a4d463e2f1f8426d79916ecd903","2019-08-04 07:25:37"]
["74494a4d463e2f1f8426d79916ecd903","2019-08-04 07:25:38"]
["88dc33ae0a4e0e50c96e45064f3cd328","2019-08-04 07:25:38"]
["74494a4d463e2f1f8426d79916ecd903","2019-08-04 07:25:38"]
["904cf9e634ffe304a2233c7d850f52a0","2019-08-04 07:26:39"]
["452193d7dfaf0c42c8f33e768abfaaae","2019-08-04 07:31:12"]
["452193d7dfaf0c42c8f33e768abfaaae","2019-08-04 07:31:12"]
["047b1cb2a5a102d64bc76b691ad4860a","2019-08-04 07:31:40"]
["bcff9b17897beb9f771be015fcfb48bb","2019-08-04 07:33:08"]
["4d74767a73bfdc264a68c800e029b3f6","2019-08-04 07:36:40"]
["f596cffaa784ba2144aba795eaa811cb","2019-08-04 07:39:44"]
["15917f6ad7dfdc9e049d876175ef6d52","2019-08-04 07:41:40"]
["2cc41528434032c2d47b6f6d8dbbc668","2019-08-04 07:44:25"]
["2cc41528434032c2d47b6f6d8dbbc668","2019-08-04 07:44:26"]
["94e69e083bb26df9d891aacc92edb9e5","2019-08-04 07:45:16"]
["94e69e083bb26df9d891aacc92edb9e5","2019-08-04 07:45:17"]
["c5f299b9981c8ae5f34f04b3fa07e4ae","2019-08-04 07:46:40"]
["0cc1ceed00a4f8903699409fe4f106ab","2019-08-04 07:47:49"]
["905982dcf237124d082f50e3abf3c403","2019-08-04 07:47:49"]
["6c9fe6302ecc7383361f02b983b77801","2019-08-04 07:50:24"]
["6c9fe6302ecc7383361f02b983b77801","2019-08-04 07:50:25"]
["c4f4cf1ad6bccd68677315c42a2eab41","2019-08-04 07:51:41"]
["889ed12a3ca29608d50651a31cde3f2b","2019-08-04 07:56:41"]
["8263f02d606578e2289d07bb83d531e8","2019-08-04 07:58:53"]
["be0c57dd4c17fb3b27ac0da26e096d6e","2019-08-04 08:01:43"]
["0886033f4c4cf829f7bf7a94a6585938","2019-08-04 08:06:42"]
